"","id","year","ship_name","route_order","port_name","original_port_name"
"712","9",2013,NA,32,"Hongkong, Xiamen","(3)Hongkong, Xiamen"
"713","5",2009,"Asian Jupiter",22,"Hongkong, Xiamen,  Haiphong,  Ho Chi Minh City,  Huangpu,  Singapore,  Port Kelang,  Laem Chabang","Hongkong, Xiamen,  Haiphong,  Ho Chi Minh City,  Huangpu,  Singapore,  Port Kelang,  Laem Chabang"
"714","7",2011,"Asian Jupiter",22,"Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Keelung, Taipei, Singapore, Port Kelang, Laem Chabang, Kaohsiung, Huangpu, Xingang","Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Keelung, Taipei, Singapore, Port Kelang, Laem Chabang, Kaohsiung, Huangpu, Xingang"
"715","6",2010,"Asian Jupiter",22,"Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Keelung, Taipei, Singapore, Port Kelang, Laem Chabang, Huangpu, Xingang","Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Keelung, Taipei, Singapore, Port Kelang, Laem Chabang, Huangpu, Xingang"
"716","10",2014,"Golden Arrow",22,"Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Manila, Yangon, Taipei, Singapore, Port Kelang, Laem Chabang, Kaohsiung, Jakarta, Bangkok, Xinsha, Huangpu, Xingang, Shanghai","Hongkong, %Xiamen, %Haiphong, %Ho Chi Minh City, %Subic Bay, %Manila, %Yangon, %Taipei, %Singapore, %Port Kelang, %Laem Chabang, %Kaohsiung, %Jakarta, %Bangkok, %Xinsha, %Huangpu, %Xingang, %Shanghai"
"717","9",2013,"Eternity Ocean",22,"Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Manila, Yangon, Taipei, Singapore, Port Kelang, Laem Chabang, Kaohsiung, Jakarta, Xinsha, Huangpu, Xingang, Shanghai","Hongkong, %Xiamen, %Haiphong, %Ho Chi Minh City, %Subic Bay, %Manila, %Yangon, %Taipei, %Singapore, %Port Kelang, %Laem Chabang, %Kaohsiung, %Jakarta, %Xinsha, %Huangpu, %Xingang, %Shanghai"
"718","8",2012,"Asian Jupiter",22,"Hongkong, Xiamen, Haiphong, Ho Chi Minh City, Subic Bay, Taipei, Keelung, Port Kelang, Singapore, Laem Chabang, Jakarta, Kaohsiung, Huangpu, Xingang, Shanghai","Hongkong, %Xiamen, %Haiphong, %Ho Chi Minh City, %Subic Bay, %Taipei, %Keelung, %Port Kelang, %Singapore, %Laem Chabang, %Jakarta, %Kaohsiung, %Huangpu, %Xingang, %Shanghai"
"719","1",2005,NA,26,"Hongkong, Yantian","(1)Hongkong, Yantian"
"720","2",2006,NA,26,"Hongkong, Yantian, Kwangyang","(2)Hongkong, Yantian, Kwangyang"
"721","2",2006,NA,28,"Hongkong, Yantian, Xiamen, Kaohsiung","Hongkong, Yantian, Xiamen, (2)Kaohsiung"
"722","5",2009,NA,28,"Hongkong,, Xiamen","(4)Hongkong,, Xiamen"
"723","5",2009,"MSC ATLANTIC",22,"Hongkong10","(1)Hongkong(Mon)[-10]"
"724","17",2021,"A.P. MOLLER",22,"Hongkong13","Hongkong(Tue/Thu)[-13]"
"725","16",2020,"A VESSEL",22,"Hongkong14","Hongkong(Mon/Tue)[-14]"
"726","18",2022,"A.P. MOLLER",22,"Hongkong17","Hongkong(Wed/Thu)[-17]"
"727","11",2015,"LANTAU BREEZE",31,"HongkongMID","(3)HongkongMID(Sun)[7]"
"728","9",2013,"OOCL CHARLESTON",30,"HongkongSat","Hongkong/Sat)"
"729","1",2005,NA,22,"HongkongSingaporePort Kelang","(1)Hongkong/Singapore/Port Kelang"
"730","10",2014,"ARICA",26,"HongkongSun","Hongkong(Sat)/Sun[9]"
"731","1",2005,"Coral Islander II",37,"Honiara","Honiara"
"732","3",2007,"CHICAGO EXPRESS",33,"Honkong","Honkong(Wed/Thu)"
"733","1",2005,NA,22,"Honolulu","Honolulu"
"734","13",2017,NA,22,"Honolulu TS at Shanghai and Los Angeles","Honolulu   T/S at Shanghai and Los Angeles"
"735","1",2005,"CONFIDENCE",22,"Hososhima","Hososhima(Mon)[-2]"
"736","15",2019,NA,29,"Hososhima, Shibushi, Oita","(SKX): Hososhima, Shibushi, Oita"
"737","1",2005,NA,21,"Houston","(1)Houston"
"738","17",2021,"HENRY HUDSON BRIDGE",21,"Houston, Dallas, Memphis, Atlanta, Chicago, Columbus","Houston, Dallas, Memphis, Atlanta, Chicago, Columbus"
"739","10",2014,NA,22,"Houston, New Orleans, Savannah, Philadelphia","Houston, New Orleans, Savannah, Philadelphia"
"740","2",2006,"Alliance New York",22,"Houston, Port Everglades, Jacksonville, Savannah, Newport News, Baltimore, New York","Houston, Port Everglades, Jacksonville, Savannah, Newport News, Baltimore, New York"
"741","1",2005,"HONG YUN HE",23,"Huangpu","Huangpu(Thu/Fri)[2]"
"742","1",2005,NA,32,"Huangpu, Hongkong","Huangpu, (2)Hongkong"
"743","7",2011,"CAPE COOK",32,"Huizhou","Huizhou(Tue)"
"744","14",2018,NA,24,"Humen","Humen"
"745","17",2021,NA,22,"Humen, Huangpu, Shekou","Humen, Huangpu, Shekou"
"746","16",2020,NA,22,"Humen, Huangpu, Shekou, Xiamen","Humen, Huangpu, Shekou, Xiamen"
"747","4",2008,"A VESSEL",27,"Ilichevsk","Ilichevsk(Tue/Thu)[24]"
