"","year","operator","dw","data_source"
"252",1979,"NLS",3670,"CIY"
"253",1986,"Norasia",52260,"CIY"
"254",2005,"Norasia",555679,"HB"
"255",1978,"Norient Line",4400,"CIY"
"256",1980,"NSCP",5600,"CIY"
"257",1983,"NSCSA",105500,"CIY"
"258",1968,"NYK",8510,"CIY"
"259",2005,"NYK",5883232,"HB"
"260",2018,"NYK Bulk and Project",36007,"HB"
"261",1978,"NYK/Showa",12660,"CIY"
"262",1972,"Occon Line",4220,"CIY"
"263",1979,"Ocean Lines",4800,"CIY"
"264",2019,"Ocean Network Express",14495595,"HB"
"265",1972,"OCL",25000,"CIY"
"266",1981,"Omex",19480,"CIY"
"267",1971,"OOCL",64500,"CIY"
"268",2005,"OOCL",2438101,"HB"
"269",1977,"OPDR",1270,"CIY"
"270",2005,"Orient Ferry",6965,"HB"
"271",1977,"P&O Containers",54000,"CIY"
"272",2005,"P. Continental",62546,"HB"
"273",1971,"Pacific Far East Line",9920,"CIY"
"274",2005,"Pakistan National Shipping Corporation",130970,"HB"
"275",2009,"Pan World",9618,"HB"
"276",2008,"PanCon",62546,"HB"
"277",2005,"Panstar",4249,"HB"
"278",2005,"PAS",120688,"HB"
"279",2005,"PDZ SHIPPING",8710,"HB"
"280",2018,"PEL",52788,"HB"
"281",2021,"PEN",67591,"HB"
"282",1971,"Phoenix Container Line",20100,"CIY"
"283",2005,"PIL",1572084,"HB"
"284",1983,"PNSC",4280,"CIY"
"285",2005,"PONL",3699659,"HB"
"286",1972,"Portline",2170,"CIY"
"287",2005,"PRO Line",19786,"HB"
"288",1970,"Prudential Grace Line",3340,"CIY"
"289",1970,"Prudential Lines",15000,"CIY"
"290",1984,"PSNC",19020,"CIY"
"291",2005,"Pukwan Ferry",2406,"HB"
"292",2009,"Qingdao Marine",23586,"HB"
"293",1978,"Quayport Line",2000,"CIY"
"294",1980,"Rainbow",1060,"CIY"
"295",2005,"RCL",146428,"HB"
"296",1980,"Rickmers",7950,"CIY"
"297",2005,"Rickmers",272146,"HB"
"298",2020,"Rizhao",7991,"HB"
"299",2016,"RKK Line",6700,"HB"
"300",1977,"Ro-Lo Pacific Line",8000,"CIY"
"301",2006,"S. S. Ferry/Orient Ferry",6965,"HB"
"302",2005,"Safmarine",157758,"HB"
"303",1985,"Samband",1640,"CIY"
"304",1971,"Samudera",2670,"CIY"
"305",2005,"Samudera",52814,"HB"
"306",2011,"Sanstar",5690,"HB"
"307",1967,"ScanDutch",2600,"CIY"
"308",1976,"ScanPacific Line",3680,"CIY"
"309",1978,"Scindia",2590,"CIY"
"310",1965,"Sea-Land",33840,"CIY"
"311",2005,"Seaboard Marine",84090,"HB"
"312",1979,"Seaboard Pacific Line",33670,"CIY"
"313",2005,"SEACON",51545,"HB"
"314",2013,"SEACON/T.S. Lines",24554,"HB"
"315",2014,"Sealand Asia",345645,"HB"
"316",2019,"SEALS",37549,"HB"
"317",1977,"Seas",6470,"CIY"
"318",1966,"Seatrain Lines",7000,"CIY"
"319",1970,"Seaway Express Lines",8820,"CIY"
"320",2005,"Senator",23040,"HB"
"321",2005,"Shandong Yantai International Marine Shipping Co",269434,"HB"
"322",2005,"Shanghai Ferry",8042,"HB"
"323",2005,"Shanghai Jin Jiang Shipping",69481,"HB"
"324",2011,"Shanghai Puhai Shipping",28602,"HB"
"325",2005,"Shinwa",14085,"HB"
"326",2005,"Shipping Corporation of India",140541,"HB"
"327",2005,"Shosen Mitsui Kinkai",23944,"HB"
"328",2005,"SIAM PAETRA INTERNATIONAL CO.,LTD",36273,"HB"
"329",2007,"Simatech",53165,"HB"
"330",2005,"Sinokor",75394,"HB"
"331",1977,"Sinotrans",1800,"CIY"
"332",2005,"Sinotrans",303180,"HB"
"333",2005,"SITC",225152,"HB"
"334",2018,"SM Line",659028,"HB"
"335",1979,"SMTM",4520,"CIY"
"336",2007,"Spliethoff",100848,"HB"
"337",1976,"Splosna Plovba",9300,"CIY"
"338",2005,"SS-Express",4910,"HB"
"339",1965,"Star Shipping",10440,"CIY"
"340",2005,"STX Pan Ocean",52513,"HB"
"341",1980,"Surinam",1100,"CIY"
"342",2008,"Suzhou Shimonoseki Ferry",6965,"HB"
"343",2010,"Swire",334891,"HB"
"344",2005,"T.J. Marine",7001,"HB"
"345",2005,"T.S. Lines",121408,"HB"
"346",2011,"Tai Chong Cheang Steamship",216068,"HB"
"347",2005,"Tai Young",13792,"HB"
"348",2012,"TAICANG CONTAINER LINES",33322,"HB"
"349",2005,"Tasman Orient",91064,"HB"
"350",2005,"TBS Pacific Liner",238246,"HB"
"351",1980,"Tecomar",6000,"CIY"
"352",1978,"TFH Line",7560,"CIY"
"353",2010,"Tianjin Jinshen Ferry Co Ltd",3626,"HB"
"354",2005,"TJS",3482,"HB"
"355",1971,"TMM",4550,"CIY"
"356",2005,"TMSC",48702,"HB"
"357",1985,"Topgallant",24110,"CIY"
"358",1974,"Trans Freight Lines",5820,"CIY"
"359",1979,"Transmediterranea",6070,"CIY"
"360",1979,"Transnave",3020,"CIY"
"361",1981,"Transroll",6000,"CIY"
"362",1972,"Trasatlantica",3660,"CIY"
"363",1971,"TRIO",18380,"CIY"
"364",2005,"TSK",1142324,"HB"
"365",1979,"UASC",11600,"CIY"
"366",2005,"UASC",1384529,"HB"
"367",1969,"Uiterwyck Lines",2160,"CIY"
"368",1988,"UMAG",5450,"CIY"
"369",1970,"Unimex/Deppe",3520,"CIY"
"370",1965,"United States Lines",6960,"CIY"
"371",2007,"US Lines",124434,"HB"
"372",1972,"USSR",2980,"CIY"
"373",2005,"Wallenius Wilhelmsen",486327,"HB"
"374",1987,"Wan Hai",6300,"CIY"
"375",2005,"Wan Hai",1329260,"HB"
"376",1980,"WEC",1850,"CIY"
"377",2005,"Westwind",39087,"HB"
"378",1986,"Westwood",40580,"CIY"
"379",2005,"Westwood",312617,"HB"
"380",1978,"Wilhelmsen Lines A/S",20000,"CIY"
"381",2005,"Winland",7436,"HB"
"382",2021,"Wuhan New Port Datong International Shipping",19000,"HB"
"383",2009,"X-Press Feeders",29931,"HB"
"384",1974,"Y-S Line",11980,"CIY"
"385",2005,"Yang Ming",2200700,"HB"
"386",1969,"Yangming",7320,"CIY"
"387",1967,"Ybarra",7890,"CIY"
"388",2011,"YSC",115660,"HB"
"389",1970,"Zim",3600,"CIY"
"390",2005,"Zim",2471073,"HB"
"391",2005,NA,297057,"HB"
