"","alliance_group_name"
"388","COSCO/Maersk"
"389","COSCO/Maersk/MOL/NYK"
"390","COSCO/MOL/NYK/PONL"
"391","COSCO/ONE/RCL/SEACON/X-press Feeders"
"392","COSCO/OOCL"
"393","COSCO/OOCL/PIL"
"394","COSCO/OOCL/TSK"
"395","COSCO/OOCL/Wan Hai"
"396","COSCO/PIL(Mariana)"
"397","COSCO/PIL/Wan Hai"
"398","COSCO/PIL/Wan Hai/Yang Ming"
"399","COSCO/RCL"
"400","COSCO/Sinotrans"
"401","COSCO/SITC"
"402","COSCO/SYMS(Sankyu Shipping)"
"403","COSCO/TSK"
"404","COSCO/Wan Hai"
"405","COSCO/X-press Feeders"
"406","COSCO/Yang Ming"
"407","Crocodile Line(Senwa)/New Guinea Pacific Line(Senwa)"
"408","CSAV"
"409","CSAV Norasia"
"410","CSAV Norasia(Wallem)"
"411","CSAV Norasia(Wallem)/Gold Star"
"412","CSAV Norasia(Wallem)/Gold Star/Hanjin"
"413","CSAV Norasia(Wallem)/Hapag"
"414","CSAV Norasia/Gold Star"
"415","CSAV Norasia/Hanjin/UASC"
"416","CSAV Norasia/MSC"
"417","CSAV Norasia/Sinotrans/Wan Hai"
"418","CSAV(Wallem)"
"419","CSAV(Wallem)/MSC"
"420","CSCL"
"421","CSCL/Evergreen"
"422","CSCL/Evergreen/UASC"
"423","CSCL/Evergreen/Zim"
"424","CSCL/Gold Star(Zim)"
"425","CSCL/Hanjin/KL/Yang Ming"
"426","CSCL/Hanjin/Yang Ming/UASC(Summit)"
"427","CSCL/Hapag/Hyundai/UASC"
"428","CSCL/Hapag/KL"
"429","CSCL/Hapag/KL/NYK"
"430","CSCL/Hapag/Maruba(Global Maritime)"
"431","CSCL/Hapag/Maruba(NMC)"
"432","CSCL/Hapag/NYK"
"433","CSCL/IRISL(Ben)"
"434","CSCL/KL/PIL(Wallem)/Yang Ming/Wan Hai"
"435","CSCL/KL/PIL/Yang Ming/Wan Hai"
"436","CSCL/KL/Yang Ming/Zim"
"437","CSCL/Onto(Mitsui-Soko)"
"438","CSCL/PIL(Mariana)"
"439","CSCL/PIL/UASC"
"440","CSCL/UASC"
"441","CSCL/UASC(Summit)"
"442","CSCL/UASC(Summit)/Yang Ming"
"443","CSCL/UASC/Yang Ming"
"444","CSCL/Zim"
"445","Daiichi Chuo"
"446","Daiko"
"447","Dandong Int'l Container(Oji Kubiki)"
"448","Dandong Intﾕl Container(Oji Kubiki)"
"449","DBLCC(Sumitomo Soko)"
"450","DBR(Ben)"
"451","DCL"
"452","Delmas"
"453","Delmas(CMA CGM)"
"454","Delmas(CMA CGM)/MOL"
"455","Delmas(Oyang Shipping)"
"456","Delmas/Gold Star(SSJ)"
"457","Delmas/MOL"
"458","Delmas/MOL/PONL"
"459","Djakarta L.(ECL)/Karana(ECL)"
"460","Dong Young(Nam Sung)"
"461","Dong Young(Nam Sung)/Nam Sung"
"462","Dong Young(Navix Namsung)"
"463","Dong Young(Navix Namsung)/Nam Sung(Navix Namsung)"
"464","Dongjin"
"465","Dongjin/Dong Young(Nam Sung)/Heung-A"
"466","Dongjin/Dong Young(Nam Sung)/Heung-A(San Ei)"
"467","Dongjin/Dong Young(Nam Sung)/HEUNG A(Sinokor)"
"468","Dongjin/Heung-A"
"469","Dongjin/Heung-A(San Ei)"
"470","Dongjin/HEUNG A(Sinokor)"
"471","Dongjin/Nam Sung"
"472","Dongjin/Nam Sung/Sinokor"
"473","Dongjin/Sinokor"
"474","Dongnama"
"475","Dongnama(Seven Mountain)"
"476","Dongnama/Hanjin/Heung-A/Sinokor"
"477","Dongnama/Hanjin/Sinokor"
"478","Dongnama/Heung-A/Sinokor"
"479","Dongnama/KL/MISC/PIL/SCI"
"480","Dongnama/Sinokor"
"481","Doriko(Naigai Trans Lines/Global Maritime)"
"482","DTS(Nissin)"
"483","Eastern(ESL Japan)"
"484","ECL"
"485","ECL(Karana)"
"486","ECL(New Star)"
"487","EIL(K Line)"
"488","EIL(KL)"
"489","EIL(TMA)"
"490","Emirates Ship."
"491","Emirates Ship.(HASCO)/Evergreen/Gold Star(Zim)/KMTC/PEN"
"492","Emirates Ship.(HASCO)/Hyundai"
"493","Emirates Ship.(HASCO)/KMTC"
"494","Emirates Ship.(HASCO)/KMTC/RCL"
"495","Emirates Ship.(Mitsui-Soko)/Zim"
"496","Emirates Ship./Evergreen/MacAndrews/SCI/Zim"
"497","Emirates Ship./Hanjin/KMTC/RCL"
"498","Emirates Ship./Hapag/RCL"
"499","Emirates Ship./OOCL"
"500","Emirates Ship./SCI/T.S. Lines"
"501","Emirates Ship./T.S. Lines"
"502","Emirates Ship./T.S. Lines(Ben)"
"503","Emirates Shipping/MacAndrews/SCI/Zim"
"504","Emirates Shipping/SCI/T.S. Lines(Ben)"
"505","Emirates Shipping/Zim(SSJ)"
"506","Ethiopian SL(Eagle Shipping)"
"507","Ethiopian SL(Senwa)"
"508","Eukor"
"509","Everett(New Star)"
"510","Evergreen"
"511","Evergreen/Gold Star/KMTC/PEL"
"512","Evergreen/Gold Star/KMTC/PEN"
"513","Evergreen/Hamburg Sud/Simatech"
"514","Evergreen/Hanjin"
"515","Evergreen/Hanjin/Hapag"
"516","Evergreen/Hanjin/ITS/RCL"
"517","Evergreen/Hanjin/LT/RCL"
"518","Evergreen/Hanjin/NYK"
"519","Evergreen/Hanjin/NYK/X-press Feeders"
"520","Evergreen/Hanjin/Simatech"
"521","Evergreen/Hanjin/UASC(Summit)"
"522","Evergreen/Hapag/HMM/ONE"
"523","Evergreen/Hapag/HMM/ONE/Yang Ming"
"524","Evergreen/Hapag/KL/NYK/PIL/Simatech/T.S. Lines/Yang Ming"
"525","Evergreen/Hapag/KL/NYK/Simatech/T.S. Lines/Yang Ming"
"526","Evergreen/Hapag/KL/Simatech/T.S. Lines/Yang Ming"
"527","Evergreen/Hapag/KL/Simatech/Yang Ming"
"528","Evergreen/Hapag/Sinotrans/T.S. Lines/Yang Ming"
"529","Evergreen/Hapag/Wan Hai"
"530","Evergreen/Hatsu Marine/ITS"
"531","Evergreen/Interasia/Wan Hai"
"532","Evergreen/ITS"
"533","Evergreen/ITS/Hatsu Marine"
"534","Evergreen/KL/MISC/SCI/Yang Ming/Zim"
"535","Evergreen/KL/MOL/NYK/OOCL"
"536","Evergreen/KL/MOL/OOCL/Yang Ming"
"537","Evergreen/LT"
"538","Evergreen/LT/Hatsu Marine"
"539","Evergreen/MOL"
"540","Evergreen/MOL/SCI/SEACON"
"541","Evergreen/MOL/SEACON"
"542","Evergreen/ONE/Simatech/T.S. Lines"
"543","Evergreen/OOCL/SCI/SEACON"
"544","Evergreen/OOCL/Simatech"
"545","Evergreen/OOCL/Yang Ming"
"546","Evergreen/PIL/Sinotrans/T.S. Lines/Yang Ming"
"547","Evergreen/PIL/Sinotrans/Yang Ming"
"548","Evergreen/PIL/T.S. Lines/Yang Ming"
"549","Evergreen/Samudera"
"550","Evergreen/Samudera/STX Pan Ocean(Sigma)/T.S. Lines/Yang Ming"
"551","Evergreen/Samudera/STX Pan Ocean(Sigma)/Yang Ming"
"552","Evergreen/SCI/SEACON"
"553","Evergreen/Simatech/Wan Hai"
"554","Evergreen/Wan Hai"
"555","Evergreen/Wan Hai/Yang Ming"
"556","Evergreen/Yang Ming"
"557","Evergreen/Zim"
"558","Fair Wind Shipping(Daiichi Koun)"
"559","Feedertech/HEUNG A/Interasia/Sinokor/Wan Hai"
"560","FESCO(Trans Russia Ag)"
"561","FESCO(Trans Russia Ag)/MOL"
"562","Fujian Shipping Co.(Koyo)"
"563","G2 Ocean(Mitsui-Soko)"
"564","GCS(Sankyu Shipping)"
